name,unique.name,xpath,VXa.state,SES.state,RISK.state,HIV.state,age.group,dist,mean,shape,min,max,choose
cscal,cscal_ex_com,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,1.165,NA,0,2.5,TRUE
relfit,relfit,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,uniform,0.73,NA,0.4,0.9,TRUE
k,kA0,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,A0,uniform,1,NA,0.25,1,TRUE
t,t,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,uniform,0.81,NA,0.62,1,TRUE
p,p,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,0.22,NA,0.14,0.3,TRUE
g,g,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,4.27,NA,2.14,4.27,TRUE
infclr,infclr,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1.9,NA,0.93,3.3,TRUE
infnon,infnon,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.14,NA,0.04,0.23,TRUE
infsub,infsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.06,NA,0.01,0.1,TRUE
nonrec,nonrec,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.2,NA,0.14,0.23,TRUE
nonsub,nonsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.26,NA,0.21,0.28,TRUE
subnon,subnon,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,2,NA,1.24,2.03,TRUE
subclin,subclin,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.8,NA,0.56,0.94,TRUE
clinsub,clinsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.72,NA,0.46,0.72,TRUE
muDn,muDn,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.01,NA,0,0.45,TRUE
muDc,muDc,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.05,NA,0.017,0.45,TRUE
eta,etaprison,//TB/TB.progression/TB.parameter,NA,NA,prison,NA,NA,uniform,0.69,NA,0,1,TRUE
eta,etaexprsn,//TB/TB.progression/TB.parameter,NA,NA,exprsn,NA,NA,uniform,0.47,NA,0,1,TRUE
eta,etacommunity,//TB/TB.progression/TB.parameter,NA,NA,community,NA,NA,uniform,0.47,NA,0,1,TRUE
comp_rt,comp_rt,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.67,NA,0.67,2,TRUE
succ_strs,succ_strs,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.35,NA,0.35,0.7,TRUE
relnon_s,relnon_s,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.01,NA,0,0.01,TRUE
relsub_s,relsub_s,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.01,NA,0,0.01,TRUE
relnon_r,relnon_r,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.06,NA,0.01,0.06,TRUE
relsub_r,relsub_r,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.06,NA,0.01,0.06,TRUE
acqres,acqres,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.012,NA,0.003,0.012,TRUE
prog_age,prog_ageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.86,NA,0.5,1,TRUE
dx_age,dx_ageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.25,NA,0.25,1,TRUE
prog_inprison,prog_inprison,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,1.1,NA,1,2.5,TRUE
prog_contRate_pri,prog_contRate_pri,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,1.53,NA,1,2.5,TRUE
compris2,compris2,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,0.00054,NA,0.00018,0.00054,TRUE
compris3,compris3,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,0.0021,NA,0.00122,0.00294,TRUE
compris4,compris4,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,0.002,NA,0.00084,0.00261,TRUE
expris,expris,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,0.2229,NA,0.126,0.325,TRUE
prisex1,prisex1,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,1.2,NA,0.479,1.201,TRUE
prisex2,prisex2,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,1,NA,0.452,1.064,TRUE
prisex3,prisex3,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,1,NA,0.476,1.106,TRUE
exmortmult,exmortmult,//RISK/RISK.progression/RISK.parameter,NA,NA,NA,NA,NA,uniform,0.1985,NA,0,0.3974,TRUE
